Car Name,Car Webpage,Car Health,Price,Exterior,Interior,Miles,Fuel Type,Fuel Efficiency (mileage),EPA Range,Transmission,Drivetrain,Engine,Location,Listing Status,VIN,Stock Number,Accidents,Owners,Car Title Status,Use Type,Vehicle Last Inspected
2022 Chevrolet Malibu LT,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST5NF184834/2022-chevrolet-malibu/,Used,"$12,995",Summit White,Dark Atmosphere/ Medium Ash Gray,"99,369 miles",Gas,29 city / 36 highway,,Automatic Transmission,FWD,1.5L Inline-4 Gas Inline,"South Gate, CA",Listed 82 days ago,1G1ZD5ST5NF184834,184834,0,1,Clean Title,Mixed,2/11/2025
2019 Ram 1500 Classic Tradesman Regular Cab 8' Box 2WD,https://www.truecar.com/used-cars-for-sale/listing/3C6JR6DG2KG509145/2019-ram-1500-classic/,Used,"$10,996",Bright White Clearcoat,Diesel Gray/Black,"136,540 miles",Gas,17 city / 25 highway,,Automatic Transmission,RWD,3.6L V-6 Gas V,"Cerritos, CA",Listed 13 days ago,3C6JR6DG2KG509145,KG509145,0,2,Clean Title,Personal,2/5/2025
2022 Ford Explorer XLT RWD,https://www.truecar.com/used-cars-for-sale/listing/1FMSK7DHXNGA71535/2022-ford-explorer/,Used,"$18,988",Star White Metallic Tri-Coat,Ebony,"85,875 miles",Gas,21 city / 28 highway,,Automatic Transmission,RWD,2.3L Inline-4 Gas Inline,"Hawthorne, CA",Listed 26 days ago,1FMSK7DHXNGA71535,B52399A,0,1,Clean Title,Personal,1/23/2025
2022 Toyota Prius LE FWD,https://www.truecar.com/used-cars-for-sale/listing/JTDKAMFU7N3180476/2022-toyota-prius/,Used,"$17,999",Black,Black,"22,314 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Los Angeles, CA",Listed 35 days ago,JTDKAMFU7N3180476,N3180476,0,1,Clean Title,Personal,1/14/2025
2012 Toyota Prius Plug-in Hybrid Advanced,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DP3C3019129/2012-toyota-prius/,Used,"$11,998",Sea Glass Pearl,Dark Gray,"122,880 miles",Hybrid,51 city / 49 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Long Beach, CA",Listed 31 days ago,JTDKN3DP3C3019129,27163P,0,3,Clean Title,Personal,1/18/2025
2019 Dodge Grand Caravan SXT,https://www.truecar.com/used-cars-for-sale/listing/2C4RDGCG3KR776192/2019-dodge-grand-caravan/,Used,"$17,998",White Knuckle Clearcoat,Black,"47,651 miles",Gas,17 city / 25 highway,,Automatic Transmission,FWD,3.6L V-6 Gas V,"Pleasant Hill, CA",Listed 2 days ago,2C4RDGCG3KR776192,26623904,0,1,Clean Title,Rental,2/10/2025
2022 Chevrolet Equinox LT with 1LT AWD,https://www.truecar.com/used-cars-for-sale/listing/3GNAXUEV6NL313017/2022-chevrolet-equinox/,Used,"$18,771",Summit White,Medium Ash Gray,"35,993 miles",Gas,25 city / 30 highway,,Automatic Transmission,AWD,1.5L Inline-4 Gas Inline,"San Leandro, CA",Listed 49 days ago,3GNAXUEV6NL313017,L5725,0,1,Clean Title,Personal,12/31/2024
2014 Volkswagen Jetta 1.8T SE Sedan Auto,https://www.truecar.com/used-cars-for-sale/listing/3VWD17AJ7EM424839/2014-volkswagen-jetta/,Used,"$8,495",Tempest Blue Metallic,Titan Black,"51,356 miles",Gas,25 city / 36 highway,,Automatic Transmission,FWD,1.8L Inline-4 Gas Inline,"Alameda, CA",Listed 58 days ago,3VWD17AJ7EM424839,424839,0,2,Clean Title,Mixed,12/22/2024
2008 Honda Civic LX Sedan Automatic,https://www.truecar.com/used-cars-for-sale/listing/2HGFA16558H341340/2008-honda-civic/,Used,"$5,495",Unknown,Unknown,"156,389 miles",Gas,25 city / 36 highway,,Automatic Transmission,FWD,1.8L Inline-4 Gas Inline,"Alameda, CA",Listed 27 days ago,2HGFA16558H341340,341340,0,1,Clean Title,Personal,1/22/2025
2018 Jeep Compass Sport FWD,https://www.truecar.com/used-cars-for-sale/listing/3C4NJCAB5JT374676/2018-jeep-compass/,Used,"$9,695",White Clearcoat,Black,"108,679 miles",Gas,23 city / 32 highway,,Automatic Transmission,FWD,2.4L Inline-4 Gas Inline,"Oakland, CA",Listed 77 days ago,3C4NJCAB5JT374676,V8218,0,4,Clean Title,Fleet,2/17/2025
2018 Hyundai Sonata Plug-In Hybrid Limited 2.0L,https://www.truecar.com/used-cars-for-sale/listing/KMHE54L25JA083038/2018-hyundai-sonata/,Used,"$17,961",Hyper White,Gray,"61,831 miles",Plug-In Hybrid,,,Automatic Transmission,FWD,2.0L Inline-4 Plug-In Hybrid Inline,"Oakland, CA",Listed 10 days ago,KMHE54L25JA083038,258210A,0,1,Clean Title,Personal,2/5/2025
2012 Toyota Prius Three,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DU7C5400587/2012-toyota-prius/,Used,"$8,495",White,Beige,"137,852 miles",Hybrid,51 city / 48 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Alameda, CA",Listed 31 days ago,JTDKN3DU7C5400587,400587,0,1,Clean Title,Personal,1/18/2025
2022 Chevrolet Malibu LT,https://www.truecar.com/used-cars-for-sale/listing/1G1ZD5ST4NF194724/2022-chevrolet-malibu/,Used,"$15,998",Mineral Gray Metallic,Jet Black,"59,741 miles",Gas,29 city / 36 highway,,Automatic Transmission,FWD,1.5L Inline-4 Gas Inline,"Pleasanton, CA",Listed 8 days ago,1G1ZD5ST4NF194724,26830247,0,1,Clean Title,Rental,12/21/2024
2018 Chevrolet Silverado 1500 LTZ Double Cab Standard Box 2WD,https://www.truecar.com/used-cars-for-sale/listing/1GCRCSEC9JZ199379/2018-chevrolet-silverado-1500/,Used,"$16,497",Summit White,Jet Black,"152,995 miles",Gas,16 city / 23 highway,,Automatic Transmission,RWD,5.3L V-8 Gas V,"Hayward, CA",Listed 27 days ago,1GCRCSEC9JZ199379,1669,0,2,Clean Title,Personal,1/22/2025
2018 Mazda Mazda6 Signature Automatic,https://www.truecar.com/used-cars-for-sale/listing/JM1GL1XYXJ1304276/2018-mazda-mazda6/,Used,"$13,300",Jet Black Mica,Deep Chestnut,"116,519 miles",Gas,23 city / 31 highway,,Automatic Transmission,FWD,2.5L Inline-4 Gas Inline,"San Leandro, CA",Listed 44 days ago,JM1GL1XYXJ1304276,C112691,0,1,Clean Title,Personal,1/5/2025
2018 Volvo S90 T5 AWD Momentum,https://www.truecar.com/used-cars-for-sale/listing/LVY982MK0JP021567/2018-volvo-s90/,Used,"$18,781",Black Stone,Charcoal,"75,078 miles",Gas,23 city / 32 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"San Leandro, CA",Listed 4 days ago,LVY982MK0JP021567,JP021567,0,1,Clean Title,Fleet,1/24/2025
2018 Jeep Wrangler Unlimited Sport S (JK),https://www.truecar.com/used-cars-for-sale/listing/1C4BJWDG5JL835818/2018-jeep-wrangler/,Used,"$17,497",Granite Crystal Metallic Clearcoat,Black,"92,642 miles",Gas,16 city / 21 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"San Leandro, CA",Listed 188 days ago,1C4BJWDG5JL835818,1599,0,1,Clean Title,Personal,1/11/2025
2014 Mercedes-Benz GL 450 4MATIC,https://www.truecar.com/used-cars-for-sale/listing/4JGDF7CE8EA399981/2014-mercedes-benz-gl/,Used,"$8,995",Unknown,Unknown,"136,548 miles",Gas,14 city / 19 highway,,Automatic Transmission,AWD,4.7L V-8 Gas V,"Alameda, CA",Listed 27 days ago,4JGDF7CE8EA399981,399981,0,3,Clean Title,Personal,1/22/2025
2017 Toyota Camry XSE V6 Automatic,https://www.truecar.com/used-cars-for-sale/listing/4T1BK1FKXHU580942/2017-toyota-camry/,Used,"$19,961",Unknown,Black,"56,256 miles",Gas,21 city / 30 highway,,Automatic Transmission,FWD,3.5L V-6 Gas V,"Oakland, CA",Listed 10 days ago,4T1BK1FKXHU580942,P15799,0,1,Clean Title,Personal,2/8/2025
2007 Honda Civic Si Sedan Manual,https://www.truecar.com/used-cars-for-sale/listing/2HGFA555X7H711947/2007-honda-civic/,Used,"$6,495",Unknown,Unknown,"165,460 miles",Gas,23 city / 32 highway,,Manual Transmission,FWD,2.0L Inline-4 Gas Inline,"Alameda, CA",Listed 25 days ago,2HGFA555X7H711947,711947,0,1,Clean Title,Personal,1/24/2025
2011 Mercedes-Benz GL 450 4MATIC,https://www.truecar.com/used-cars-for-sale/listing/4JGBF7BE8BA697354/2011-mercedes-benz-gl/,Used,"$6,995",Unknown,Unknown,"143,864 miles",Gas,13 city / 18 highway,,Automatic Transmission,AWD,4.7L V-8 Gas V,"Alameda, CA",Listed 27 days ago,4JGBF7BE8BA697354,697354,0,3,Clean Title,Fleet,1/22/2025
2022 Mercedes-Benz EQS 450+ RWD Sedan,https://www.truecar.com/used-cars-for-sale/listing/W1KCG2DB3NA016393/2022-mercedes-benz-eqs-sedan/,Certified Pre-Owned,"$42,986",Onyx  Black Metallic,Black/Space Grey,"10,326 miles",Electric,,350 mi,Automatic Transmission,RWD,L - Electric,"Oakland, CA",Listed 63 days ago,W1KCG2DB3NA016393,17289,0,1,Clean Title,Personal,1/28/2025
2014 Tesla Model S 60 RWD,https://www.truecar.com/used-cars-for-sale/listing/5YJSA1S19EFP30628/2014-tesla-model-s/,Used,"$14,497",White,No Color,"123,826 miles",Electric,,208 mi,Automatic Transmission,RWD,L - Electric,"Hayward, CA",Listed 4 days ago,5YJSA1S19EFP30628,1650,0,5,Clean Title,Personal,1/7/2025
2015 Toyota Prius Plug-in Hybrid Advanced,https://www.truecar.com/used-cars-for-sale/listing/JTDKN3DP6F3067857/2015-toyota-prius/,Used,"$21,497",Silver,Gray,"13,545 miles",Hybrid,,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"San Leandro, CA",Listed 21 days ago,JTDKN3DP6F3067857,1702,0,1,Clean Title,Personal,1/28/2025
2016 Lexus LS 460 RWD,https://www.truecar.com/used-cars-for-sale/listing/JTHBL5EF7G5140164/2016-lexus-ls/,Used,"$23,492",Obsidian,Black W/Shimamoku,"83,677 miles",Gas,16 city / 24 highway,,Automatic Transmission,RWD,4.6L V-8 Gas V,"Hayward, CA",Listed 7 days ago,JTHBL5EF7G5140164,G5140164,0,2,Clean Title,Personal,2/1/2025
"2009 Ford Super Duty F-550 Chassis Cab 4WD Crew Cab 176"" WB 60"" CA XL",https://www.truecar.com/used-cars-for-sale/listing/1FDAW57R09EB29243/2009-ford-super-duty-f-550-chassis-cab/,Used,"$14,795",White,Gray,"116,062 miles",Diesel,,,Automatic Transmission,4WD,6.4L V-8 Diesel V,"Hayward, CA",Listed 11 days ago,1FDAW57R09EB29243,QAD29243,0,3,Clean Title,Fleet,1/8/2025
2017 Hyundai Sonata Plug-In Hybrid Limited 2.0L,https://www.truecar.com/used-cars-for-sale/listing/KMHE54L25HA049207/2017-hyundai-sonata/,Used,"$19,888",Diamond White Pearl,Gray,"25,039 miles",Plug-In Hybrid,,,Automatic Transmission,FWD,2.0L Inline-4 Plug-In Hybrid Inline,"San Leandro, CA",Listed 44 days ago,KMHE54L25HA049207,9953,0,1,Clean Title,Personal,1/5/2025
2014 Chevrolet Cruze LT with 1LT Automatic,https://www.truecar.com/used-cars-for-sale/listing/1G1PC5SB5E7225894/2014-chevrolet-cruze/,Used,"$4,999",Summit White,Medium Titanium,"132,514 miles",Gas,26 city / 38 highway,,Automatic Transmission,FWD,1.4L Inline-4 Gas Inline,"Newark, CA",Listed 14 days ago,1G1PC5SB5E7225894,225894,0,3,Clean Title,Personal,1/20/2025
2005 Acura RL AWD,https://www.truecar.com/used-cars-for-sale/listing/JH4KB16585C003146/2005-acura-rl/,Used,"$9,995",Nighthawk Black Pearl,Black,"75,763 miles",Gas,18 city / 26 highway,,Automatic Transmission,AWD,3.5L V-6 Gas V,"San Leandro, CA",Listed 34 days ago,JH4KB16585C003146,2313,0,1,Clean Title,Fleet,1/15/2025
2019 Ford Super Duty F-250 XLT 4WD Crew Cab 6.75' Box,https://www.truecar.com/used-cars-for-sale/listing/1FT7W2B64KEE86411/2019-ford-super-duty-f-250/,Used,"$37,998",White,Gray,"51,005 miles",Gas,,,Automatic Transmission,4WD,6.2L V-8 Gas V,"Pleasanton, CA",Listed 3 days ago,1FT7W2B64KEE86411,26278237,0,2,Clean Title,Rental,12/15/2024
2022 Toyota Prius XLE FWD,https://www.truecar.com/used-cars-for-sale/listing/JTDKAMFUXN3180679/2022-toyota-prius/,Used,"$22,995",Black,Black,"23,127 miles",Hybrid,54 city / 50 highway,,Automatic Transmission,FWD,1.8L Inline-4 Hybrid Inline,"Alameda, CA",Listed 77 days ago,JTDKAMFUXN3180679,180679,0,1,Clean Title,Personal,2/17/2025
2004 Jeep Wrangler X,https://www.truecar.com/used-cars-for-sale/listing/1J4FA39S24P791247/2004-jeep-wrangler/,Used,"$7,495",Unknown,Unknown,"163,902 miles",Gas,16 city / 19 highway,,Manual Transmission,4WD,4.0L Inline-6 Gas Inline,"Alameda, CA",Listed 27 days ago,1J4FA39S24P791247,791247,0,3,Clean Title,Personal,1/22/2025
2010 Nissan Rogue SL AWD,https://www.truecar.com/used-cars-for-sale/listing/JN8AS5MVXAW147298/2010-nissan-rogue/,Used,"$4,995",Wicked Black,Black,"129,867 miles",Gas,21 city / 26 highway,,Automatic Transmission,AWD,2.5L Inline-4 Gas Inline,"Alameda, CA",Listed 27 days ago,JN8AS5MVXAW147298,147298,0,3,Clean Title,Personal,1/22/2025
2018 Hyundai Santa Fe SE Ultimate FWD,https://www.truecar.com/used-cars-for-sale/listing/KM8SR4HF9JU281963/2018-hyundai-santa-fe/,Used,"$15,997",Monaco White,Gray,"78,406 miles",Gas,17 city / 23 highway,,Automatic Transmission,FWD,3.3L V-6 Gas V,"San Leandro, CA",Listed 182 days ago,KM8SR4HF9JU281963,1603,0,2,Clean Title,Personal,1/17/2025
2021 Porsche Cayenne Turbo Coupe AWD,https://www.truecar.com/used-cars-for-sale/listing/WP1BF2AY5MDA51126/2021-porsche-cayenne/,Used,"$79,961",Unknown,Black/Bordeaux Red,"41,710 miles",Gas,15 city / 19 highway,,Automatic Transmission,AWD,4.0L V-8 Gas V,"Oakland, CA",Listed 14 days ago,WP1BF2AY5MDA51126,251067A,0,1,Clean Title,Personal,2/4/2025
2018 Nissan NV Cargo NV1500 SV V6 Standard Roof,https://www.truecar.com/used-cars-for-sale/listing/1N6BF0KM0JN817672/2018-nissan-nv-cargo/,Used,"$14,500",Glacier White,Gray,"102,223 miles",Gas,,,Automatic Transmission,RWD,4.0L V-6 Gas V,"Bakersfield, CA",Listed 168 days ago,1N6BF0KM0JN817672,81767200,0,1,Clean Title,Fleet,1/31/2025
2013 Chevrolet Camaro LS with 2LS Coupe Automatic,https://www.truecar.com/used-cars-for-sale/listing/2G1FA1E3XD9118223/2013-chevrolet-camaro/,Used,"$8,995",Silver Ice Metallic,Black,"123,694 miles",Gas,18 city / 27 highway,,Automatic Transmission,RWD,3.6L V-6 Gas V,"Bakersfield, CA",Listed 1 day ago,2G1FA1E3XD9118223,11822300,0,2,Clean Title,Personal,2/17/2025
2017 Toyota Camry SE I4 Automatic,https://www.truecar.com/used-cars-for-sale/listing/4T1BF1FK6HU429018/2017-toyota-camry/,Used,"$15,998",Super White,Black,"94,888 miles",Gas,24 city / 33 highway,,Automatic Transmission,FWD,2.5L Inline-4 Gas Inline,"Bakersfield, CA",Listed 1 day ago,4T1BF1FK6HU429018,26353424,0,2,Clean Title,Personal,1/16/2025
2020 Nissan Pathfinder FWD SL,https://www.truecar.com/used-cars-for-sale/listing/5N1DR2CNXLC576381/2020-nissan-pathfinder/,Used,"$14,995",Caspian Blue Metallic,Charcoal,"94,882 miles",Gas,20 city / 27 highway,,Automatic Transmission,FWD,3.5L V-6 Gas V,"Bakersfield, CA",Listed 73 days ago,5N1DR2CNXLC576381,57638100,0,3,Clean Title,Rental,12/7/2024
2018 Nissan Frontier SV V6 Crew Cab 4WD Automatic,https://www.truecar.com/used-cars-for-sale/listing/1N6AD0EV0JN745457/2018-nissan-frontier/,Used,"$13,995",Glacier White,Steel,"148,165 miles",Gas,15 city / 21 highway,,Automatic Transmission,4WD,4.0L V-6 Gas V,"Bakersfield, CA",Listed 219 days ago,1N6AD0EV0JN745457,74545700,0,3,Clean Title,Mixed,12/11/2024
2021 Volkswagen Passat 2.0T SE,https://www.truecar.com/used-cars-for-sale/listing/1VWSA7A32MC002938/2021-volkswagen-passat/,Used,"$14,500",Platinum Gray Metallic,Titan Black,"63,754 miles",Gas,24 city / 36 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Bakersfield, CA",Listed 410 days ago,1VWSA7A32MC002938,00293800,0,1,Clean Title,Mixed,1/13/2025
2017 Jeep Wrangler Unlimited Willys Wheeler,https://www.truecar.com/used-cars-for-sale/listing/1C4BJWDG8HL538665/2017-jeep-wrangler/,Used,"$18,995",Firecracker Red Clearcoat,Black,"93,853 miles",Gas,16 city / 21 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"Bakersfield, CA",Listed 151 days ago,1C4BJWDG8HL538665,53866500,0,3,Clean Title,Personal,2/17/2025
2014 Mercedes-Benz C 250 Coupe RWD,https://www.truecar.com/used-cars-for-sale/listing/WDDGJ4HB3EG257764/2014-mercedes-benz-c-class/,Used,"$9,995",Steel Gray Metallic,Unknown,"96,425 miles",Gas,22 city / 31 highway,,Automatic Transmission,RWD,1.8L Inline-4 Gas Inline,"Bakersfield, CA",Listed 104 days ago,WDDGJ4HB3EG257764,25776400,0,3,Clean Title,Personal,1/20/2025
2017 Acura TLX I4 FWD with Technology Package,https://www.truecar.com/used-cars-for-sale/listing/19UUB1F51HA005896/2017-acura-tlx/,Used,"$15,500",Bellanova White Pearl,Unknown,"90,654 miles",Gas,24 city / 35 highway,,Automatic Transmission,FWD,2.4L Inline-4 Gas Inline,"Bakersfield, CA",Listed 172 days ago,19UUB1F51HA005896,00589600,0,2,Clean Title,Fleet,1/27/2025
2018 Chevrolet Traverse LT Leather with 3LT FWD,https://www.truecar.com/used-cars-for-sale/listing/1GNERHKW0JJ185911/2018-chevrolet-traverse/,Used,"$17,500",Silver Ice Metallic,Jet Black/Dark Galvanized,"84,125 miles",Gas,18 city / 27 highway,,Automatic Transmission,FWD,3.6L V-6 Gas V,"Bakersfield, CA",Listed 60 days ago,1GNERHKW0JJ185911,18591100,0,2,Clean Title,Rental,12/20/2024
2021 Toyota Corolla LE CVT,https://www.truecar.com/used-cars-for-sale/listing/5YFEPMAE3MP256681/2021-toyota-corolla/,Used,"$16,499",Super White,Unknown,"66,170 miles",Gas,30 city / 38 highway,,Automatic Transmission,FWD,1.8L Inline-4 Gas Inline,"Bakersfield, CA",Listed 14 days ago,5YFEPMAE3MP256681,1076,0,1,Clean Title,Mixed,1/9/2025
2017 Ford Explorer XLT FWD,https://www.truecar.com/used-cars-for-sale/listing/1FM5K7D84HGB07222/2017-ford-explorer/,Used,"$14,500",Ingot Silver Metallic,Dark Earth Gray,"89,259 miles",Gas,17 city / 24 highway,,Automatic Transmission,FWD,3.5L V-6 Gas V,"Bakersfield, CA",Listed 38 days ago,1FM5K7D84HGB07222,B0722200,0,3,Clean Title,Personal,1/11/2025
"2017 Ram 1500 Express Crew Cab 5'7"" Box 4WD",https://www.truecar.com/used-cars-for-sale/listing/1C6RR7KG3HS573112/2017-ram-1500/,Used,"$13,995",Bright White Clearcoat,Diesel Gray/Black,"139,278 miles",Gas,16 city / 23 highway,,Automatic Transmission,4WD,3.6L V-6 Gas V,"Bakersfield, CA",Listed 23 days ago,1C6RR7KG3HS573112,57311200,0,2,Clean Title,Fleet,1/26/2025
2016 Toyota Corolla S Plus Manual,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE7GC553939/2016-toyota-corolla/,Used,"$9,999",N / A,Unknown,"124,005 miles",Gas,28 city / 37 highway,,Manual Transmission,FWD,1.8L Inline-4 Gas Inline,"Bakersfield, CA",Listed 14 days ago,2T1BURHE7GC553939,1457,0,3,Clean Title,Fleet,1/29/2025
"2020 Ram ProMaster Cargo Van 1500 Low Roof 136""",https://www.truecar.com/used-cars-for-sale/listing/3C6TRVAG3LE123001/2020-ram-promaster-cargo-van/,Used,"$18,995",Bright White Clearcoat,Black,"81,516 miles",Gas,,,Automatic Transmission,FWD,3.6L V-6 Gas V,"Bakersfield, CA",Listed 183 days ago,3C6TRVAG3LE123001,12300100,0,2,Clean Title,Fleet,1/16/2025
2021 BMW 228i Gran Coupe FWD,https://www.truecar.com/used-cars-for-sale/listing/WBA53AK03M7J66619/2021-bmw-2-series/,Used,"$19,999",Alpine White,Black,"42,112 miles",Gas,24 city / 33 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Bakersfield, CA",Listed 14 days ago,WBA53AK03M7J66619,1372,0,2,Clean Title,Personal,12/10/2024
2016 Chevrolet Tahoe LT RWD,https://www.truecar.com/used-cars-for-sale/listing/1GNSCBKC0GR391876/2016-chevrolet-tahoe/,Used,"$22,000",Summit White,Jet Black,"97,354 miles",Gas,16 city / 23 highway,,Automatic Transmission,RWD,5.3L V-8 Gas V,"Bakersfield, CA",Listed 164 days ago,1GNSCBKC0GR391876,39187600,0,1,Clean Title,Personal,2/4/2025
2022 Ford Edge SEL,https://www.truecar.com/used-cars-for-sale/listing/2FMPK4J94NBA92504/2022-ford-edge/,Used,"$22,595",Oxford White,Black,"37,586 miles",Gas,21 city / 28 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Bakersfield, CA",Listed 59 days ago,2FMPK4J94NBA92504,1010217415,0,1,Clean Title,Mixed,12/30/2024
2019 Nissan Altima SL FWD,https://www.truecar.com/used-cars-for-sale/listing/1N4BL4EV3KC197538/2019-nissan-altima/,Used,"$14,995",Super Black,Charcoal,"78,872 miles",Gas,28 city / 39 highway,,Automatic Transmission,FWD,2.5L Inline-4 Gas Inline,"Bakersfield, CA",Listed 25 days ago,1N4BL4EV3KC197538,19753800,0,3,Clean Title,Rental,1/24/2025
2021 Chrysler Pacifica Touring L FWD,https://www.truecar.com/used-cars-for-sale/listing/2C4RC1BG1MR531377/2021-chrysler-pacifica/,Used,"$18,995",Bright White Clearcoat,Alloy/Black,"72,245 miles",Gas,19 city / 28 highway,,Automatic Transmission,FWD,3.6L V-6 Gas V,"Bakersfield, CA",Listed 397 days ago,2C4RC1BG1MR531377,53137700,0,1,Clean Title,Mixed,1/28/2025
2024 Chevrolet Silverado 1500 RST Crew Cab Short Bed 2WD,https://www.truecar.com/used-cars-for-sale/listing/3GCPADEK4RG409964/2024-chevrolet-silverado-1500/,Used,"$45,998",Black,Jet Black,486 miles,Gas,18 city / 22 highway,,Automatic Transmission,RWD,2.7L Inline-4 Gas Inline,"Bakersfield, CA",Listed 6 days ago,3GCPADEK4RG409964,26848957,0,2,Clean Title,Personal,2/12/2025
2013 Hyundai Sonata GLS 2.4L (PZEV),https://www.truecar.com/used-cars-for-sale/listing/5NPEB4ACXDH635879/2013-hyundai-sonata/,Used,"$8,850",Iridescent Silver Blue Pearl,Gray,"93,940 miles",Gas,24 city / 35 highway,,Automatic Transmission,FWD,2.4L Inline-4 Gas Inline,"Bakersfield, CA",Listed 1127 days ago,5NPEB4ACXDH635879,988,0,4,Clean Title,Fleet,2/17/2025
2020 Chevrolet Silverado 1500 LT Crew Cab Short Bed 4WD,https://www.truecar.com/used-cars-for-sale/listing/1GCPYDEK8LZ123912/2020-chevrolet-silverado-1500/,Used,"$28,995",Summit White,Gideon/Very Dark Atmosphere,"59,341 miles",Gas,19 city / 22 highway,,Automatic Transmission,4WD,2.7L Inline-4 Gas Inline,"Bakersfield, CA",Listed 80 days ago,1GCPYDEK8LZ123912,12391200,0,2,Clean Title,Fleet,2/13/2025
2021 Nissan Sentra SV CVT,https://www.truecar.com/used-cars-for-sale/listing/3N1AB8CV0MY239129/2021-nissan-sentra/,Used,"$16,491",Brilliant Silver Metallic,Charcoal,"54,690 miles",Gas,29 city / 39 highway,,Automatic Transmission,FWD,2.0L Inline-4 Gas Inline,"Bakersfield, CA",Listed 17 days ago,3N1AB8CV0MY239129,22721,0,1,Clean Title,Personal,1/29/2025
2022 Honda Accord Sport 1.5T CVT,https://www.truecar.com/used-cars-for-sale/listing/1HGCV1F36NA065279/2022-honda-accord/,Used,"$20,995",Crystal Black Pearl,Unknown,"86,714 miles",Gas,29 city / 35 highway,,Automatic Transmission,FWD,1.5L Inline-4 Gas Inline,"Bakersfield, CA",Listed 63 days ago,1HGCV1F36NA065279,06527900,0,2,Clean Title,Personal,12/17/2024
2021 Hyundai Sonata SE,https://www.truecar.com/used-cars-for-sale/listing/5NPEG4JA8MH074467/2021-hyundai-sonata/,Used,"$15,500",Calypso Red,Dark Gray,"63,028 miles",Gas,28 city / 38 highway,,Automatic Transmission,FWD,2.5L Inline-4 Gas Inline,"Bakersfield, CA",Listed 399 days ago,5NPEG4JA8MH074467,07446700,0,1,Clean Title,Rental,1/25/2025
2024 Mercedes-Benz E 350 Sedan,https://www.truecar.com/used-cars-for-sale/listing/W1KLF4HB3RA007319/2024-mercedes-benz-e-class/,Used,"$56,991",Black,Black,"4,620 miles",Gas,24 city / 33 highway,,Automatic Transmission,AWD,2.0L Inline-4 Gas Inline,"Bakersfield, CA",Listed 12 days ago,W1KLF4HB3RA007319,22788,0,1,Clean Title,Personal,2/6/2025
2023 Jeep Grand Cherokee Limited RWD,https://www.truecar.com/used-cars-for-sale/listing/1C4RJGBG1PC539226/2023-jeep-grand-cherokee/,Used,"$28,998",Diamond Black Crystal Pearlcoat,Global Black,"43,775 miles",Gas,19 city / 26 highway,,Automatic Transmission,RWD,3.6L V-6 Gas V,"Bakersfield, CA",Listed 2 days ago,1C4RJGBG1PC539226,26858406,0,2,Clean Title,Rental,2/12/2025
2018 Honda Accord EX-L 1.5T CVT,https://www.truecar.com/used-cars-for-sale/listing/1HGCV1F55JA079671/2018-honda-accord/,Used,"$17,995",Platinum White Pearl,Unknown,"90,866 miles",Gas,30 city / 38 highway,,Automatic Transmission,FWD,1.5L Inline-4 Gas Inline,"Bakersfield, CA",Listed 57 days ago,1HGCV1F55JA079671,07967100,0,3,Clean Title,Fleet,12/23/2024
2024 Mercedes-Benz EQE 350 4MATIC Sedan,https://www.truecar.com/used-cars-for-sale/listing/W1KEG1CB4RF058018/2024-mercedes-benz-eqe-sedan/,Used,"$53,998",Graphite Grey Metallic,Black/Sable Brown,53 miles,Electric,,280 mi,Automatic Transmission,AWD,L - Electric,"Palmdale, CA",Listed 5 days ago,W1KEG1CB4RF058018,26870939,0,1,Clean Title,Personal,2/13/2025
2022 Tesla Model 3 Long Range AWD,https://www.truecar.com/used-cars-for-sale/listing/5YJ3E1EB9NF127272/2022-tesla-model-3/,Used,"$20,999",Pearl White Multi-Coat,Black,"30,671 miles",Electric,,358 mi,Automatic Transmission,AWD,L - Electric,"Newport Beach, CA",Listed 14 days ago,5YJ3E1EB9NF127272,127272,0,2,Clean Title,Fleet,2/4/2025
2024 Mercedes-Benz EQE 350 4MATIC Sedan,https://www.truecar.com/used-cars-for-sale/listing/W1KEG1CB3RF042490/2024-mercedes-benz-eqe-sedan/,Certified Pre-Owned,"$47,890",Polar White,Black/Space Grey,"10,393 miles",Electric,,280 mi,Automatic Transmission,AWD,L - Electric,"Newport Beach, CA",Listed 66 days ago,W1KEG1CB3RF042490,P53634,0,1,Clean Title,Personal,12/14/2024
